from,to,time
"Uchapatti, Tirumangalam, Tamil Nadu, India","P.Okkupatty, Tamil Nadu",10238
"Uchapatti, Tirumangalam, Tamil Nadu, India","Ambalakaranpatti, Tamil Nadu 625106",2253
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kattakalaipatty, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Muruganpatty, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kottanathampatty, Tamil Nadu",10238
"Uchapatti, Tirumangalam, Tamil Nadu, India","Melavalasai, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kuppachipatti, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kattanipatti, Tamil Nadu",4769
"Uchapatti, Tirumangalam, Tamil Nadu, India","Alagichipatti, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Ucharichanpatti, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kottanathampatti Post Office, Kottanathampatty, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Vannanparaipatti, Tamil Nadu",3466
"Uchapatti, Tirumangalam, Tamil Nadu, India","Pathinettangudi, Tamil Nadu 625106",3293
"Uchapatti, Tirumangalam, Tamil Nadu, India","Manickampatty, Tamil Nadu 625503",3105
"Uchapatti, Tirumangalam, Tamil Nadu, India","Chinnapatti, Tamil Nadu 625014",3019
"Uchapatti, Tirumangalam, Tamil Nadu, India","Periyapatti, Tamil Nadu 625014",2920
"Uchapatti, Tirumangalam, Tamil Nadu, India","Paraipatti, Tamil Nadu 625301",3541
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kodimangalam, Tamil Nadu 625301",3541
"Uchapatti, Tirumangalam, Tamil Nadu, India","Tiruppalai, Madurai, Tamil Nadu",3042
"Uchapatti, Tirumangalam, Tamil Nadu, India","Keelavalavu, Tamil Nadu",3775
"Uchapatti, Tirumangalam, Tamil Nadu, India","Vatakkuvalayapatti, Tamil Nadu",10238
"Uchapatti, Tirumangalam, Tamil Nadu, India","Sarugu Valayapatti, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Uranganpatti, Tamil Nadu 625109",4021
"Uchapatti, Tirumangalam, Tamil Nadu, India","Vellalore, Tamil Nadu 625109",12788
"Uchapatti, Tirumangalam, Tamil Nadu, India","Melavalasai, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Thanaiyamangalam, Tamil Nadu 625109",3870
"Uchapatti, Tirumangalam, Tamil Nadu, India","Muthusamypatti, Kayampatti, Tamil Nadu 625108",3503
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kongampatti, Tamil Nadu",4140
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kallampottai, Tamil Nadu 625106",3293
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kottanathampatty, Tamil Nadu 625109",4355
"Uchapatti, Tirumangalam, Tamil Nadu, India","Vadakkampatti, Tamil Nadu 625514",2318
"Uchapatti, Tirumangalam, Tamil Nadu, India","Poochampatty Karuppusamy Temple, Tamil Nadu 625514",13673
"Uchapatti, Tirumangalam, Tamil Nadu, India","Chettikulam, Tamil Nadu 625514",10634
"Uchapatti, Tirumangalam, Tamil Nadu, India","Arittapatti, Tamil Nadu 625106",3064
"Uchapatti, Tirumangalam, Tamil Nadu, India",Surakkundu,3029
"Uchapatti, Tirumangalam, Tamil Nadu, India",Vikkiramangalam R.F,2939
"Uchapatti, Tirumangalam, Tamil Nadu, India","Sathamangalam, Madurai, Tamil Nadu",2083
"Uchapatti, Tirumangalam, Tamil Nadu, India","Manappatti Vinayagar Temple, Purandippatti, Tamil Nadu 625105",11424
"Uchapatti, Tirumangalam, Tamil Nadu, India","Sakkiliyankulam, Tamil Nadu 625537",3276
"Uchapatti, Tirumangalam, Tamil Nadu, India","Sakkarapatti, Tamil Nadu",10238
"Uchapatti, Tirumangalam, Tamil Nadu, India","Karumathur, Tamil Nadu 625514",1637
"Uchapatti, Tirumangalam, Tamil Nadu, India","Panchayat Union Elementary School Keelamattaiyan, India, Melakkal, Tamil Nadu",10238
"Uchapatti, Tirumangalam, Tamil Nadu, India","Mullippallam, Tamil Nadu 625207",2225
"Uchapatti, Tirumangalam, Tamil Nadu, India","Nachikulam, Tamil Nadu 625205",2367
"Uchapatti, Tirumangalam, Tamil Nadu, India","Pandiarajapuram-Pallaptti-Road, Pandiarajapuram, Tamil Nadu 624201, India",12021
"Uchapatti, Tirumangalam, Tamil Nadu, India","Kulasekarankottai, Tamil Nadu 625218",1892
"Uchapatti, Tirumangalam, Tamil Nadu, India","Katchaikatti, Tamil Nadu 625218",2134
"Uchapatti, Tirumangalam, Tamil Nadu, India","T. Andipatti, Tamil Nadu",1710
"Uchapatti, Tirumangalam, Tamil Nadu, India","Nedungulam, Tamil Nadu",4416
"Uchapatti, Tirumangalam, Tamil Nadu, India","Thenur, Tamil Nadu 625402",1355
"Uchapatti, Tirumangalam, Tamil Nadu, India","T. Mettupatti, Tamil Nadu 625501",3848
"Uchapatti, Tirumangalam, Tamil Nadu, India","Chockalingapuram, Tamil Nadu 625218",2134
"Uchapatti, Tirumangalam, Tamil Nadu, India","Idayapatti Govt School, Kovilpatti, Tamil Nadu 625501",2496
"Uchapatti, Tirumangalam, Tamil Nadu, India","Azhagapuri - Meenakshipuram Rd, Tamil Nadu 625501",7500
"Uchapatti, Tirumangalam, Tamil Nadu, India","Vittankulam, Tamil Nadu 625501",1828
"Uchapatti, Tirumangalam, Tamil Nadu, India","Alanganallur, Tamil Nadu 625501",2453
"Uchapatti, Tirumangalam, Tamil Nadu, India","Pottulupatti, Tamil Nadu 625514",2256
"Uchapatti, Tirumangalam, Tamil Nadu, India","Moonaandipatty, Tamil Nadu 625514",2318
"Uchapatti, Tirumangalam, Tamil Nadu, India","Meenachipatti, Tamil Nadu 625514",2318
"Uchapatti, Tirumangalam, Tamil Nadu, India","Sokkalingapuram Road, Sokkalingapuram, Tamil Nadu 625512, India",5156
"Uchapatti, Tirumangalam, Tamil Nadu, India","Periya Ilandhai Kulam, Tamil Nadu 625221",2504
"Uchapatti, Tirumangalam, Tamil Nadu, India","Chittalai, Tamil Nadu 625706",1683
"Uchapatti, Tirumangalam, Tamil Nadu, India","Keela Urappanur, Tamil Nadu 625706",1149
"Uchapatti, Tirumangalam, Tamil Nadu, India","Josyar Alangulam, Tamil Nadu 625706",1348
"Uchapatti, Tirumangalam, Tamil Nadu, India","Maravankulam, Tamil Nadu",778
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India",17083
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kuppanampatti, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Valandur, Tamil Nadu",643
"Ariyapatti, Usilampatti, Tamil Nadu, India","Chellampatty, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kannanur, Tamil Nadu 625514",1300
"Ariyapatti, Usilampatti, Tamil Nadu, India","Checkanurani, Tamil Nadu 625514",1428
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vadapalanji, Tamil Nadu",1844
"Ariyapatti, Usilampatti, Tamil Nadu, India","Nagamalai Puthukottai, Tamil Nadu 625019",1721
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kallandhiri, Tamil Nadu 625301",4853
"Ariyapatti, Usilampatti, Tamil Nadu, India","Mathur, Tamil Nadu 625301",4810
"Ariyapatti, Usilampatti, Tamil Nadu, India","Arumbanur, Tamil Nadu 625104",4520
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pudupatti, Tamil Nadu 625107",4417
"Ariyapatti, Usilampatti, Tamil Nadu, India","Otthakadai, Tamil Nadu 625107",4204
"Ariyapatti, Usilampatti, Tamil Nadu, India","Uthangudi, Tamil Nadu",4053
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sukkampatti, Tamil Nadu 625101",6039
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vanjipatti, Tamil Nadu 625101",6039
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vanjinagaram, Tamil Nadu 625101",5713
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kachirayanpatti, Tamil Nadu 625105",5454
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kottampatty, Tamil Nadu 625103",6067
"Ariyapatti, Usilampatti, Tamil Nadu, India","Attappatti, Tamil Nadu 625108",5735
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thumbaipatti, Tamil Nadu",5409
"Ariyapatti, Usilampatti, Tamil Nadu, India","Soorakkundu, Tamil Nadu 625106",5169
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pungankulam, Tamil Nadu 625706",1731
"Ariyapatti, Usilampatti, Tamil Nadu, India","Urappanur, Tamil Nadu",2191
"Ariyapatti, Usilampatti, Tamil Nadu, India","Mela Urapanur, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kannan Temple, MDR954, Urappanur, Tamil Nadu 625706",2191
"Ariyapatti, Usilampatti, Tamil Nadu, India","Karadikal, Tamil Nadu",19883
"Ariyapatti, Usilampatti, Tamil Nadu, India","Govt Kallar Ele. School Sorikkampatti, Sorikkampatti,, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","K.Pudupatti, Madurai, Tamil Nadu",1920
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thenpalanji, Tamil Nadu 625021",2000
"Ariyapatti, Usilampatti, Tamil Nadu, India","Panchayat Union Elementry School Vedar Puliyankulam, Veder Puliangulam, Tamil Nadu 625006",2525
"Ariyapatti, Usilampatti, Tamil Nadu, India","Ambattaiyanpatti, Tamil Nadu 625529",1443
"Ariyapatti, Usilampatti, Tamil Nadu, India","Poruppu Mettupatti, Tamil Nadu 625529",5108
"Ariyapatti, Usilampatti, Tamil Nadu, India","P. Vagaikulam, Tamil Nadu",3509
"Ariyapatti, Usilampatti, Tamil Nadu, India","C.Vagaikulam, Tamil Nadu",3509
"Ariyapatti, Usilampatti, Tamil Nadu, India","Alagusirai, Tamil Nadu 625706",1433
"Ariyapatti, Usilampatti, Tamil Nadu, India","Karadipatti, Tamil Nadu",2131
"Ariyapatti, Usilampatti, Tamil Nadu, India","Karumathur, Tamil Nadu 625514",1049
"Ariyapatti, Usilampatti, Tamil Nadu, India","Poosaaripatty, Tamil Nadu 625514",1047
"Ariyapatti, Usilampatti, Tamil Nadu, India","Poochampatti, Tamil Nadu 625218",3387
"Ariyapatti, Usilampatti, Tamil Nadu, India","Ramarajapuram, Tamil Nadu 624219",3517
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thethoor, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vaigasipatti, Tamil Nadu 625501",3931
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kalvelipatti, Tamil Nadu",3159
"Ariyapatti, Usilampatti, Tamil Nadu, India","Alanganallur, Vadipatti, Madurai, Tamil Nadu, India",3713
"Ariyapatti, Usilampatti, Tamil Nadu, India","Siruvalai, Madurai, Tamil Nadu",3301
"Ariyapatti, Usilampatti, Tamil Nadu, India","Oththavidu, Tamil Nadu 625501",3713
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kallanai, Tamil Nadu 625501",3767
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sivarakottai, Tamil Nadu",2522
"Ariyapatti, Usilampatti, Tamil Nadu, India","Maruthangudi, Tamil Nadu 625701",3608
"Ariyapatti, Usilampatti, Tamil Nadu, India","Mochikulam, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thirumal, Paraikulam, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Paraikulam, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Veeraperumalpuram, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thoombakulam, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kallanai, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sathangudi, Tamil Nadu 625706",1676
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kangayanatham, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pannikundu, Tamil Nadu 625706",1403
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thangalacheri, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sedapatti, Tamil Nadu 625527",2057
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kunnathur, Tamil Nadu 625708",2992
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kilavaneri, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Tirali, Tamil Nadu 625706",2298
"Ariyapatti, Usilampatti, Tamil Nadu, India","Tirumangalam, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kappalur, Madurai, Tamil Nadu",2512
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thoppur, Tamil Nadu 625008",15081
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thiruparankundram, Tamil Nadu",2804
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pykara, Madurai, Tamil Nadu 625004",3104
"Ariyapatti, Usilampatti, Tamil Nadu, India","Ulagani, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Melaupplikundu, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Periya Koodakoil, Tamil Nadu",3441
"Ariyapatti, Usilampatti, Tamil Nadu, India","Solankuruni, Tamil Nadu 625022",3150
"Ariyapatti, Usilampatti, Tamil Nadu, India","Nallur, Tamil Nadu 625022",3493
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kusavakundu, Tamil Nadu 625022",3307
"Ariyapatti, Usilampatti, Tamil Nadu, India","Perungudi, madurai",2883
"Ariyapatti, Usilampatti, Tamil Nadu, India","Chinthamani, Tamil Nadu",26362
"Ariyapatti, Usilampatti, Tamil Nadu, India","A.Andipatti, Tamil Nadu 625537",2016
"Ariyapatti, Usilampatti, Tamil Nadu, India","Ayyanarkulam, Tamil Nadu 625537",1462
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kodikulam, Tamil Nadu 625514",1047
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kovilangulam, Tamil Nadu 625514",4513
"Ariyapatti, Usilampatti, Tamil Nadu, India","Mayakurumbanpatti.Kaliyaman.Temple, Madurai, Tamil Nadu 625514",1047
"Ariyapatti, Usilampatti, Tamil Nadu, India","Chettikulam, Tamil Nadu 625514",12041
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kokkulam, Tamil Nadu",5703
"Ariyapatti, Usilampatti, Tamil Nadu, India","Checkanurani, Tamil Nadu 625514",1428
"Ariyapatti, Usilampatti, Tamil Nadu, India","Panchayat Union Elementary School, Mahalingapuram, Usilampatti, Tamil Nadu, Mahalingampuram Pudur, Tamil Nadu 625537",773
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kalluthu, Tamil Nadu 625537",2048
"Ariyapatti, Usilampatti, Tamil Nadu, India","K.Perumalpatti Amman Kovil, post, Kalluthu, Tamil Nadu 625537",Error
"Ariyapatti, Usilampatti, Tamil Nadu, India","Saththa Kovil Melaperumalpatti, Mannadimangalam R.F., Tamil Nadu 625207",2530
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vikkiramangalam, Tamil Nadu 625207",1730
"Ariyapatti, Usilampatti, Tamil Nadu, India","Panniyan, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Melakkal, Tamil Nadu 625234",1834
"Ariyapatti, Usilampatti, Tamil Nadu, India","Perumalkovilpatti, Tamil Nadu 625532",524
"Ariyapatti, Usilampatti, Tamil Nadu, India","Allikundam, Tahsil-Usilampatti, Madurai, Tamil Nadu 625527",1491
"Ariyapatti, Usilampatti, Tamil Nadu, India","Manuthu, Tamil Nadu 625527",2074
"Ariyapatti, Usilampatti, Tamil Nadu, India","Rasakkapatti, Tamil Nadu 625527",2074
"Ariyapatti, Usilampatti, Tamil Nadu, India","Rengasamipatty Bus Stop, Eramarpatti, Tamil Nadu 625527",2074
"Ariyapatti, Usilampatti, Tamil Nadu, India","Palarpatti, Tamil Nadu 625527",2074
"Ariyapatti, Usilampatti, Tamil Nadu, India","Usilampatti, Tamil Nadu 625532",524
"Ariyapatti, Usilampatti, Tamil Nadu, India","Unnamed Road, Varichiyur, Tamil Nadu 625020, India",12753
"Ariyapatti, Usilampatti, Tamil Nadu, India","Poonjuthi, Poonjuthi,, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thiruvathavur, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Uranganpatti, Tamil Nadu",4309
"Ariyapatti, Usilampatti, Tamil Nadu, India","Idayapatti, Tamil Nadu",5459
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pudhu Thamaraipatti, Tamil Nadu 625107",4204
"Ariyapatti, Usilampatti, Tamil Nadu, India","Karuppayurani, Tamil Nadu 625020",3897
"Ariyapatti, Usilampatti, Tamil Nadu, India","Urseri, Tamil Nadu",3916
"Ariyapatti, Usilampatti, Tamil Nadu, India","Palamedu, Tamil Nadu0 625503",4365
"Ariyapatti, Usilampatti, Tamil Nadu, India","Senthamangalam, Tamil Nadu 625503",11510
"Ariyapatti, Usilampatti, Tamil Nadu, India","Paraipatti, Tamil Nadu 625503",4864
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vellaiyampatti, Tamil Nadu 625503",4735
"Ariyapatti, Usilampatti, Tamil Nadu, India","Manickampatty, Tamil Nadu 625503",4365
"Ariyapatti, Usilampatti, Tamil Nadu, India","Muduvarpatti, Tamil Nadu 625503",4388
"Ariyapatti, Usilampatti, Tamil Nadu, India","Periya Urseri, Tamil Nadu 625501",3916
"Ariyapatti, Usilampatti, Tamil Nadu, India","15B Mettupatti, Tamil Nadu 625501",5108
"Ariyapatti, Usilampatti, Tamil Nadu, India","Velichanatham, V.Meenakshipuram, Tamil Nadu",8816
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vallavan Colony Bus Stop, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","P.Okkupatty, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Ambalakaranpatti, Tamil Nadu 625106",4243
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kattakalaipatty, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Muruganpatty, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kottanathampatty, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Melavalasai, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kuppachipatti, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kattanipatti, Tamil Nadu",6644
"Ariyapatti, Usilampatti, Tamil Nadu, India","Alagichipatti, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Ucharichanpatti, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kottanathampatti Post Office, Kottanathampatty, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vannanparaipatti, Tamil Nadu",5342
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pathinettangudi, Tamil Nadu 625106",5169
"Ariyapatti, Usilampatti, Tamil Nadu, India","Manickampatty, Tamil Nadu 625503",4365
"Ariyapatti, Usilampatti, Tamil Nadu, India","Chinnapatti, Tamil Nadu 625014",4189
"Ariyapatti, Usilampatti, Tamil Nadu, India","Periyapatti, Tamil Nadu 625014",4090
"Ariyapatti, Usilampatti, Tamil Nadu, India","Paraipatti, Tamil Nadu 625301",5444
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kodimangalam, Tamil Nadu 625301",5444
"Ariyapatti, Usilampatti, Tamil Nadu, India","Tiruppalai, Madurai, Tamil Nadu",4212
"Ariyapatti, Usilampatti, Tamil Nadu, India","Keelavalavu, Tamil Nadu",5651
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vatakkuvalayapatti, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sarugu Valayapatti, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Uranganpatti, Tamil Nadu 625109",5897
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vellalore, Tamil Nadu 625109",13670
"Ariyapatti, Usilampatti, Tamil Nadu, India","Melavalasai, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thanaiyamangalam, Tamil Nadu 625109",5746
"Ariyapatti, Usilampatti, Tamil Nadu, India","Muthusamypatti, Kayampatti, Tamil Nadu 625108",5378
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kongampatti, Tamil Nadu",6015
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kallampottai, Tamil Nadu 625106",5169
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kottanathampatty, Tamil Nadu 625109",6230
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vadakkampatti, Tamil Nadu 625514",1047
"Ariyapatti, Usilampatti, Tamil Nadu, India","Poochampatty Karuppusamy Temple, Tamil Nadu 625514",14556
"Ariyapatti, Usilampatti, Tamil Nadu, India","Chettikulam, Tamil Nadu 625514",12041
"Ariyapatti, Usilampatti, Tamil Nadu, India","Arittapatti, Tamil Nadu 625106",4940
"Ariyapatti, Usilampatti, Tamil Nadu, India",Surakkundu,4904
"Ariyapatti, Usilampatti, Tamil Nadu, India",Vikkiramangalam R.F,2273
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sathamangalam, Madurai, Tamil Nadu",3488
"Ariyapatti, Usilampatti, Tamil Nadu, India","Manappatti Vinayagar Temple, Purandippatti, Tamil Nadu 625105",12831
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sakkiliyankulam, Tamil Nadu 625537",1462
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sakkarapatti, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Karumathur, Tamil Nadu 625514",1049
"Ariyapatti, Usilampatti, Tamil Nadu, India","Panchayat Union Elementary School Keelamattaiyan, India, Melakkal, Tamil Nadu",11498
"Ariyapatti, Usilampatti, Tamil Nadu, India","Mullippallam, Tamil Nadu 625207",2254
"Ariyapatti, Usilampatti, Tamil Nadu, India","Nachikulam, Tamil Nadu 625205",2904
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pandiarajapuram-Pallaptti-Road, Pandiarajapuram, Tamil Nadu 624201, India",13281
"Ariyapatti, Usilampatti, Tamil Nadu, India","Kulasekarankottai, Tamil Nadu 625218",3152
"Ariyapatti, Usilampatti, Tamil Nadu, India","Katchaikatti, Tamil Nadu 625218",3387
"Ariyapatti, Usilampatti, Tamil Nadu, India","T. Andipatti, Tamil Nadu",2970
"Ariyapatti, Usilampatti, Tamil Nadu, India","Nedungulam, Tamil Nadu",6379
"Ariyapatti, Usilampatti, Tamil Nadu, India","Thenur, Tamil Nadu 625402",1980
"Ariyapatti, Usilampatti, Tamil Nadu, India","T. Mettupatti, Tamil Nadu 625501",5108
"Ariyapatti, Usilampatti, Tamil Nadu, India","Chockalingapuram, Tamil Nadu 625218",3387
"Ariyapatti, Usilampatti, Tamil Nadu, India","Idayapatti Govt School, Kovilpatti, Tamil Nadu 625501",3756
"Ariyapatti, Usilampatti, Tamil Nadu, India","Azhagapuri - Meenakshipuram Rd, Tamil Nadu 625501",8907
"Ariyapatti, Usilampatti, Tamil Nadu, India","Vittankulam, Tamil Nadu 625501",3088
"Ariyapatti, Usilampatti, Tamil Nadu, India","Alanganallur, Tamil Nadu 625501",3713
"Ariyapatti, Usilampatti, Tamil Nadu, India","Pottulupatti, Tamil Nadu 625514",442
"Ariyapatti, Usilampatti, Tamil Nadu, India","Moonaandipatty, Tamil Nadu 625514",1047
"Ariyapatti, Usilampatti, Tamil Nadu, India","Meenachipatti, Tamil Nadu 625514",1047
"Ariyapatti, Usilampatti, Tamil Nadu, India","Sokkalingapuram Road, Sokkalingapuram, Tamil Nadu 625512, India",7118
"Ariyapatti, Usilampatti, Tamil Nadu, India","Periya Ilandhai Kulam, Tamil Nadu 625221",3764
"Ariyapatti, Usilampatti, Tamil Nadu, India","Chittalai, Tamil Nadu 625706",3128
"Ariyapatti, Usilampatti, Tamil Nadu, India","Keela Urappanur, Tamil Nadu 625706",2191
"Ariyapatti, Usilampatti, Tamil Nadu, India","Josyar Alangulam, Tamil Nadu 625706",2030
"Ariyapatti, Usilampatti, Tamil Nadu, India","Maravankulam, Tamil Nadu",2562
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Kuppanampatti, Tamil Nadu",10690
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Valandur, Tamil Nadu",16593
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Chellampatty, Tamil Nadu",10690
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Kannanur, Tamil Nadu 625514",15804
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Checkanurani, Tamil Nadu 625514",15716
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Vadapalanji, Tamil Nadu",15578
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Nagamalai Puthukottai, Tamil Nadu 625019",15234
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Kallandhiri, Tamil Nadu 625301",16371
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Mathur, Tamil Nadu 625301",16653
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Arumbanur, Tamil Nadu 625104",16794
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Pudupatti, Tamil Nadu 625107",16714
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Otthakadai, Tamil Nadu 625107",16798
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Uthangudi, Tamil Nadu",16933
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Sukkampatti, Tamil Nadu 625101",16026
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Vanjipatti, Tamil Nadu 625101",16026
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Vanjinagaram, Tamil Nadu 625101",16591
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Kachirayanpatti, Tamil Nadu 625105",16731
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Kottampatty, Tamil Nadu 625103",16300
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Attappatti, Tamil Nadu 625108",17127
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Thumbaipatti, Tamil Nadu",17043
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Soorakkundu, Tamil Nadu 625106",17224
"Sikkampatti, Papireddipatti, Dharmapuri, Tamil Nadu, India","Pungankulam, Tamil Nadu 625706",16591
